kind	legacyId	owner	disposition	replacementId
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Response#public fun <init> (Lcom/salesforce/revoman/internal/postman/PostmanSDK;ILjava/lang/String;Ljava/lang/String;)V	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Response#public final fun json ()Lorg/graalvm/polyglot/Value;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Response#public final fun text ()Ljava/lang/String;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Variables#public final class com/salesforce/revoman/internal/postman/PostmanSDK$Variables {	CS2a	removed	VariableScopesView and callback-scoped editors
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Variables#public fun <init> (Lcom/salesforce/revoman/internal/postman/PostmanSDK;)V	CS2a	removed	VariableScopesView and callback-scoped editors
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Variables#public final fun get (Ljava/lang/String;)Ljava/lang/Object;	CS2a	removed	VariableScopesView and callback-scoped editors
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Variables#public final fun has (Ljava/lang/String;)Z	CS2a	removed	VariableScopesView and callback-scoped editors
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Variables#public final fun replaceIn (Ljava/lang/String;)Ljava/lang/String;	CS2a	removed	VariableScopesView and callback-scoped editors
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Variables#public final fun set (Ljava/lang/String;Ljava/lang/Object;)V	CS2a	removed	VariableScopesView and callback-scoped editors
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Variables#public final fun unset (Ljava/lang/String;)V	CS2a	removed	VariableScopesView and callback-scoped editors
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Xml2Json#public abstract interface class com/salesforce/revoman/internal/postman/PostmanSDK$Xml2Json {	CS2a	removed	JsonCodec
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Xml2Json#public abstract fun xml2Json (Ljava/lang/String;)Ljava/lang/Object;	CS2a	removed	JsonCodec
kotlin	com/salesforce/revoman/internal/postman/RegexReplacer#public final class com/salesforce/revoman/internal/postman/RegexReplacer {	CS2a	removed	journal-backed variable resolver
kotlin	com/salesforce/revoman/internal/postman/RegexReplacer#public static final field Companion Lcom/salesforce/revoman/internal/postman/RegexReplacer$Companion;	CS2a	removed	journal-backed variable resolver
kotlin	com/salesforce/revoman/internal/postman/RegexReplacer#public fun <init> ()V	CS2a	removed	journal-backed variable resolver
kotlin	com/salesforce/revoman/internal/postman/RegexReplacer#public fun <init> (Ljava/util/Map;Lkotlin/jvm/functions/Function2;)V	CS2a	removed	journal-backed variable resolver
kotlin	com/salesforce/revoman/internal/postman/RegexReplacer#public synthetic fun <init> (Ljava/util/Map;Lkotlin/jvm/functions/Function2;ILkotlin/jvm/internal/DefaultConstructorMarker;)V	CS2a	removed	journal-backed variable resolver
kotlin	com/salesforce/revoman/internal/postman/RegexReplacer$Companion#public final class com/salesforce/revoman/internal/postman/RegexReplacer$Companion {	CS2a	removed	journal-backed variable resolver
java	com/salesforce/revoman/ReVoman$SequenceResult|CLASS|<class>|Lcom/salesforce/revoman/ReVoman$SequenceResult;|0x0019|0x0000	CS2a	internalized	internal-runtime/KickRunner sequence result
java	com/salesforce/revoman/ReVoman$SequenceResult|CONSTRUCTOR|<init>|(Ljava/util/List;Lcom/salesforce/revoman/output/StopReason;)V|0x0019|0x0001	CS2a	internalized	internal-runtime/KickRunner sequence result
java	com/salesforce/revoman/ReVoman$SequenceResult|METHOD|component1|()Ljava/util/List;|0x0019|0x0011	CS2a	internalized	internal-runtime/KickRunner sequence result
java	com/salesforce/revoman/ReVoman$SequenceResult|METHOD|component2|()Lcom/salesforce/revoman/output/StopReason;|0x0019|0x0011	CS2a	internalized	internal-runtime/KickRunner sequence result
